
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2014,
    5.3.2.-Robos con violencia en viviendas,111.0,
    5.3.3.-Robos con violencia en establecimientos,153.0,
    5.4.-Sustracción de vehículos,757.0,
    5.5.-Estafas,5092.0,
    5.5.1.-Estafas bancarias,322.0,
    5.6.-Daños,10879.0,
    5.7.-Contra la propiedad intelectual/industrial,101.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,1518.0,
    6. SEGURIDAD COLECTIVA,3050.0,
    6.1.-Tráfico de drogas,380.0,
    6.2.-Contra la seguridad vial,2589.0,
    6.3.-Otros contra la seguridad colectiva,81.0,
    7. FALSEDADES,521.0,
    8. ADMÓN. PÚBLICA,9.0,
    9. ADMÓN. JUSTICIA,1004.0,
    10. ORDEN PÚBLICO,1228.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,298.0,
    TOTAL INFRACCIONES PENALES,77013.0,
CASTILLA - LA MANCHA,
    1. CONTRA LAS PERSONAS,11389.0,
    1.1.-Homicidios dolosos/asesinatos,47.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,16.0,
    1.2.-Lesiones,4036.0,
    1.3.-Malos tratos ámbito familiar,2431.0,
    1.4.-Otros contra las personas,4875.0,
    2. CONTRA LA LIBERTAD,1303.0,
    2.1.-Malos tratos habituales en el ámbito familiar,539.0,
    2.2.-Otros contra la libertad,764.0,
    3. LIBERTAD SEXUAL,285.0,
    3.1.-Agresión sexual,50.0,
    3.2.-Agresión sexual con penetración,24.0,
    3.3.-Corrupción de menores o incapacitados,14.0,
    3.4.-Pornografía de menores,18.0,
    3.5.-Otros contra la libertad e indemnidad sexual,179.0,
    4. RELACIONES FAMILIARES,382.0,
    5. PATRIMONIO,50648.0,
    5.1.-Hurtos,17463.0,
    5.2.-Robos con fuerza en las cosas,16892.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2767.0,
    5.2.2.-Robos con fuerza en viviendas,6627.0,
    5.2.3.-Robos con fuerza en establecimientos,2073.0,
