
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2017,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2365.0,
    5.2.2.-Robos con fuerza en viviendas,2086.0,
    5.2.3.-Robos con fuerza en establecimientos,1039.0,
    5.3.-Robos con violencia o intimidación,871.0,
    5.3.1.-Robos con violencia en vía pública,573.0,
    5.3.2.-Robos con violencia en viviendas,74.0,
    5.3.3.-Robos con violencia en establecimientos,132.0,
    5.4.-Sustracción de vehículos,1580.0,
    5.5.-Estafas,3621.0,
    5.5.1.-Estafas bancarias,284.0,
    5.6.-Daños,5605.0,
    5.7.-Contra la propiedad intelectual/industrial,88.0,
    5.8.-Blanqueo de capitales,16.0,
    5.9.-Otros contra el patrimonio,1216.0,
    6. SEGURIDAD COLECTIVA,2054.0,
    6.1.-Tráfico de drogas,818.0,
    6.2.-Contra la seguridad vial,1141.0,
    6.3.-Otros contra la seguridad colectiva,95.0,
    7. FALSEDADES,627.0,
    8. ADMÓN. PÚBLICA,16.0,
    9. ADMÓN. JUSTICIA,990.0,
    10. ORDEN PÚBLICO,722.0,
    11. LEGISLACIÓN ESPECIAL,56.0,
    12. OTRAS INFRACCIONES PENALES,528.0,
    TOTAL INFRACCIONES PENALES,50174.0,
Castellón/Castelló,
    1. CONTRA LAS PERSONAS,2047.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,1260.0,
    1.3.-Malos tratos ámbito familiar,736.0,
    1.4.-Otros contra las personas,42.0,
    2. CONTRA LA LIBERTAD,1349.0,
    2.1.-Malos tratos habituales en el ámbito familiar,168.0,
    2.2.-Otros contra la libertad,1181.0,
    3. LIBERTAD SEXUAL,177.0,
    3.1.-Agresión sexual,26.0,
    3.2.-Agresión sexual con penetración,15.0,
    3.3.-Corrupción de menores o incapacitados,6.0,
    3.4.-Pornografía de menores,6.0,
    3.5.-Otros contra la libertad e indemnidad sexual,124.0,
    4. RELACIONES FAMILIARES,73.0,
    5. PATRIMONIO,17085.0,
    5.1.-Hurtos,6899.0,
    5.2.-Robos con fuerza en las cosas,4413.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1048.0,
    5.2.2.-Robos con fuerza en viviendas,2107.0,
    5.2.3.-Robos con fuerza en establecimientos,520.0,
    5.3.-Robos con violencia o intimidación,409.0,
    5.3.1.-Robos con violencia en vía pública,190.0,
    5.3.2.-Robos con violencia en viviendas,37.0,
    5.3.3.-Robos con violencia en establecimientos,84.0,
    5.4.-Sustracción de vehículos,203.0,
    5.5.-Estafas,1931.0,
    5.5.1.-Estafas bancarias,449.0,
    5.6.-Daños,2719.0,
    5.7.-Contra la propiedad intelectual/industrial,24.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,484.0,
    6. SEGURIDAD COLECTIVA,846.0,
    6.1.-Tráfico de drogas,145.0,
    6.2.-Contra la seguridad vial,650.0,
